sim_time,phase_index,phase_state,total_queue_length,max_queue_length,vehicle_count,avg_waiting_time,queue_north_to_center_0,queue_north_to_center_1,queue_east_to_center_0,queue_east_to_center_1,queue_south_to_center_0,queue_south_to_center_1,queue_west_to_center_0,queue_west_to_center_1,llm_action,llm_duration
352,1,yyyyyyyyrrrrrrrr,105,32,183,25.57,9,32,4,4,12,32,6,6,,
353,1,yyyyyyyyrrrrrrrr,106,32,182,26.14,9,32,3,4,12,32,7,7,,
354,1,yyyyyyyyrrrrrrrr,109,32,181,26.73,10,32,3,4,13,32,7,8,,
355,2,rrrrrrrrGGGgGGGg,104,32,182,26.42,7,32,2,4,12,31,8,8,,
356,2,rrrrrrrrGGGgGGGg,104,32,181,26.47,7,32,3,4,12,30,9,7,,
357,2,rrrrrrrrGGGgGGGg,103,32,181,26.38,7,32,2,3,13,29,10,7,,
358,2,rrrrrrrrGGGgGGGg,100,32,182,26.06,5,32,3,4,12,28,10,6,,
359,2,rrrrrrrrGGGgGGGg,99,32,181,26.05,5,32,4,5,11,27,9,6,,
360,2,rrrrrrrrGGGgGGGg,95,32,181,25.9,5,32,4,5,10,26,8,5,switch,25
361,3,rrrrrrrryyyyyyyy,96,32,183,25.55,5,32,5,5,11,25,7,6,,
362,3,rrrrrrrryyyyyyyy,94,32,184,25.32,5,32,5,6,11,24,6,5,,
363,3,rrrrrrrryyyyyyyy,94,32,185,25.06,5,32,6,7,9,24,6,5,,
364,3,rrrrrrrryyyyyyyy,96,32,186,24.91,6,32,7,8,10,23,5,5,,
365,0,GGGgGGGgrrrrrrrr,95,32,186,24.69,5,32,6,7,11,23,6,5,,
366,0,GGGgGGGgrrrrrrrr,96,32,187,24.79,6,32,6,7,10,23,6,6,,
367,0,GGGgGGGgrrrrrrrr,92,32,187,24.56,5,32,6,7,10,22,5,5,,
368,0,GGGgGGGgrrrrrrrr,88,32,189,24.11,4,32,5,6,10,22,5,4,,
369,0,GGGgGGGgrrrrrrrr,87,32,189,23.97,4,32,5,6,9,22,4,5,,
370,0,GGGgGGGgrrrrrrrr,89,32,187,24.58,4,32,4,6,9,23,5,6,switch,25
371,1,yyyyyyyyrrrrrrrr,90,32,188,24.42,3,32,5,5,9,23,6,7,,
372,1,yyyyyyyyrrrrrrrr,91,32,187,24.5,6,32,4,4,10,22,6,7,,
373,1,yyyyyyyyrrrrrrrr,88,32,187,24.42,4,32,3,3,10,22,7,7,,
374,1,yyyyyyyyrrrrrrrr,93,32,187,24.38,5,32,4,4,11,21,7,9,,
375,2,rrrrrrrrGGGgGGGg,86,32,187,24.48,2,32,3,4,9,21,7,8,,
376,2,rrrrrrrrGGGgGGGg,86,32,188,24.06,2,32,2,4,10,20,8,8,,
377,2,rrrrrrrrGGGgGGGg,82,32,188,23.79,0,32,2,5,9,19,7,8,,
378,2,rrrrrrrrGGGgGGGg,80,32,188,23.59,1,32,3,5,9,17,6,7,,
379,2,rrrrrrrrGGGgGGGg,76,32,184,23.88,1,32,3,5,8,15,6,6,,
380,2,rrrrrrrrGGGgGGGg,78,32,186,23.48,2,32,4,5,8,14,7,6,switch,25
381,3,rrrrrrrryyyyyyyy,77,32,186,23.3,3,32,4,5,7,13,7,6,,
382,3,rrrrrrrryyyyyyyy,79,32,186,23.54,5,32,5,6,7,12,6,6,,
383,3,rrrrrrrryyyyyyyy,85,32,186,23.47,5,32,6,7,7,13,7,8,,
384,3,rrrrrrrryyyyyyyy,81,32,186,23.39,5,32,6,8,7,10,6,7,,
385,0,GGGgGGGgrrrrrrrr,79,32,185,23.22,4,32,6,7,8,10,5,7,,
386,0,GGGgGGGgrrrrrrrr,81,32,185,23.4,4,32,6,7,9,10,6,7,,
387,0,GGGgGGGgrrrrrrrr,78,31,184,23.28,4,31,6,6,10,9,6,6,,
388,0,GGGgGGGgrrrrrrrr,73,31,183,23.2,3,31,5,6,8,8,6,6,,
389,0,GGGgGGGgrrrrrrrr,75,31,184,22.86,3,31,5,5,8,8,7,8,,
390,0,GGGgGGGgrrrrrrrr,70,31,183,22.74,3,31,4,5,6,9,6,6,switch,25
391,1,yyyyyyyyrrrrrrrr,65,31,183,21.7,3,31,4,4,6,6,6,5,,
392,1,yyyyyyyyrrrrrrrr,67,30,184,21.01,3,30,5,4,6,7,7,5,,
393,1,yyyyyyyyrrrrrrrr,66,29,185,20.38,3,29,5,4,6,6,8,5,,
394,1,yyyyyyyyrrrrrrrr,71,29,186,20.59,2,29,4,5,7,8,9,7,,
395,2,rrrrrrrrGGGgGGGg,68,28,186,19.84,3,28,4,4,7,8,8,6,,
396,2,rrrrrrrrGGGgGGGg,65,27,186,19.1,1,27,4,5,7,7,8,6,,
397,2,rrrrrrrrGGGgGGGg,64,27,185,18.51,1,27,4,4,8,7,7,6,,
398,2,rrrrrrrrGGGgGGGg,64,27,185,17.85,2,27,5,5,8,6,6,5,,
399,2,rrrrrrrrGGGgGGGg,68,27,184,18.19,4,27,5,4,9,6,7,6,,
400,2,rrrrrrrrGGGgGGGg,62,26,184,17.53,3,26,4,4,8,4,7,6,switch,25
401,3,rrrrrrrryyyyyyyy,68,26,184,16.96,4,26,6,4,9,5,8,6,,
402,3,rrrrrrrryyyyyyyy,70,26,184,16.41,6,26,5,4,11,5,8,5,,
403,3,rrrrrrrryyyyyyyy,66,25,183,15.89,4,25,6,5,9,4,7,6,,
404,3,rrrrrrrryyyyyyyy,70,25,183,15.32,5,25,7,6,11,4,7,5,,
405,0,GGGgGGGgrrrrrrrr,67,23,184,14.51,5,23,7,6,12,3,6,5,,
406,0,GGGgGGGgrrrrrrrr,69,22,184,13.74,5,22,6,6,13,5,6,6,,
407,0,GGGgGGGgrrrrrrrr,68,22,185,13.77,5,22,6,5,14,4,6,6,,
408,0,GGGgGGGgrrrrrrrr,65,20,185,13.09,5,20,5,4,14,5,6,6,,
409,0,GGGgGGGgrrrrrrrr,62,19,185,12.45,3,19,5,4,15,4,6,6,,
410,0,GGGgGGGgrrrrrrrr,61,17,184,11.84,3,17,5,4,17,4,5,6,switch,25
411,1,yyyyyyyyrrrrrrrr,65,17,183,11.4,4,17,4,5,17,5,6,7,,
412,1,yyyyyyyyrrrrrrrr,68,17,183,10.84,6,16,4,5,17,6,7,7,,
413,1,yyyyyyyyrrrrrrrr,69,18,183,10.31,4,15,4,7,18,6,7,8,,
414,1,yyyyyyyyrrrrrrrr,73,18,182,9.93,6,15,5,7,18,6,8,8,,
415,2,rrrrrrrrGGGgGGGg,69,19,181,9.23,4,15,4,6,19,5,8,8,,
416,2,rrrrrrrrGGGgGGGg,75,19,182,9.36,6,16,5,7,19,6,8,8,,
417,2,rrrrrrrrGGGgGGGg,74,19,183,8.71,6,15,6,7,19,5,8,8,,
418,2,rrrrrrrrGGGgGGGg,74,20,184,8.02,5,14,6,7,20,4,10,8,,
419,2,rrrrrrrrGGGgGGGg,75,22,184,7.43,5,14,5,7,22,4,10,8,,
420,2,rrrrrrrrGGGgGGGg,72,20,184,6.83,4,14,5,7,20,4,11,7,switch,25
421,3,rrrrrrrryyyyyyyy,74,22,185,6.25,3,13,5,7,22,5,12,7,,
422,3,rrrrrrrryyyyyyyy,76,23,186,5.75,4,13,4,7,23,5,13,7,,
423,3,rrrrrrrryyyyyyyy,77,25,186,5.22,5,13,5,7,25,3,11,8,,
424,3,rrrrrrrryyyyyyyy,82,26,186,5.56,6,14,6,9,26,3,11,7,,
425,0,GGGgGGGgrrrrrrrr,82,26,186,5.61,6,12,6,9,26,4,12,7,,
426,0,GGGgGGGgrrrrrrrr,77,26,189,4.8,7,11,5,7,26,4,11,6,,
427,0,GGGgGGGgrrrrrrrr,80,27,190,4.13,7,9,5,9,27,6,11,6,,
428,0,GGGgGGGgrrrrrrrr,74,27,189,3.44,4,8,5,8,27,5,12,5,,
429,0,GGGgGGGgrrrrrrrr,75,27,189,3.52,4,8,5,8,27,5,12,6,,
430,0,GGGgGGGgrrrrrrrr,75,28,189,3.73,3,9,5,7,28,5,11,7,switch,25
431,1,yyyyyyyyrrrrrrrr,78,28,190,3.91,5,8,4,7,28,7,12,7,,
432,1,yyyyyyyyrrrrrrrr,82,30,190,4.23,5,7,6,8,30,7,13,6,,
433,1,yyyyyyyyrrrrrrrr,84,30,190,4.49,6,7,6,8,30,7,13,7,,
434,1,yyyyyyyyrrrrrrrr,86,31,190,4.82,6,7,6,8,31,7,13,8,,
435,2,rrrrrrrrGGGgGGGg,86,30,189,4.8,7,7,7,9,30,5,13,8,,
436,2,rrrrrrrrGGGgGGGg,85,29,189,4.67,7,6,7,8,29,7,13,8,,
437,2,rrrrrrrrGGGgGGGg,83,28,193,4.45,6,8,7,8,28,7,12,7,,
438,2,rrrrrrrrGGGgGGGg,84,27,192,4.42,7,10,8,9,27,6,11,6,,
439,2,rrrrrrrrGGGgGGGg,83,26,193,4.34,8,8,8,9,26,7,10,7,,
440,2,rrrrrrrrGGGgGGGg,81,26,193,4.3,7,9,8,9,26,7,9,6,switch,25
441,3,rrrrrrrryyyyyyyy,84,25,193,4.28,8,9,8,10,25,8,9,7,,
442,3,rrrrrrrryyyyyyyy,82,24,192,4.25,9,9,8,10,24,8,8,6,,
443,3,rrrrrrrryyyyyyyy,78,23,193,4.17,8,9,7,10,23,8,7,6,,
444,3,rrrrrrrryyyyyyyy,79,23,192,4.21,9,10,8,9,23,7,7,6,,
445,0,GGGgGGGgrrrrrrrr,77,23,191,4.23,9,9,7,8,23,9,6,6,,
446,0,GGGgGGGgrrrrrrrr,81,22,192,4.16,9,11,7,8,22,10,7,7,,
447,0,GGGgGGGgrrrrrrrr,77,22,192,3.96,7,11,7,7,22,11,6,6,,
448,0,GGGgGGGgrrrrrrrr,71,21,192,3.78,8,8,6,7,21,11,5,5,,
449,0,GGGgGGGgrrrrrrrr,72,21,191,3.65,8,9,5,6,21,13,5,5,,
450,0,GGGgGGGgrrrrrrrr,75,22,190,3.74,9,10,5,6,22,12,5,6,switch,25
451,1,yyyyyyyyrrrrrrrr,78,22,190,3.69,9,10,5,5,22,16,5,6,,
452,1,yyyyyyyyrrrrrrrr,77,21,190,3.73,7,10,5,5,21,16,6,7,,
453,1,yyyyyyyyrrrrrrrr,76,21,190,3.81,7,10,6,4,21,15,5,8,,
454,1,yyyyyyyyrrrrrrrr,76,21,190,3.78,8,9,6,4,21,15,5,8,,
455,2,rrrrrrrrGGGgGGGg,79,19,191,3.7,9,10,6,5,19,17,5,8,,
456,2,rrrrrrrrGGGgGGGg,82,19,191,3.62,8,12,6,6,18,19,5,8,,
457,2,rrrrrrrrGGGgGGGg,81,17,189,3.63,9,14,7,6,17,17,4,7,,
458,2,rrrrrrrrGGGgGGGg,83,20,189,3.58,9,15,6,7,15,20,4,7,,
459,2,rrrrrrrrGGGgGGGg,87,22,191,3.65,12,15,8,6,14,22,4,6,,
460,2,rrrrrrrrGGGgGGGg,86,21,191,3.63,12,14,9,7,13,21,4,6,switch,25
461,3,rrrrrrrryyyyyyyy,85,23,192,3.62,12,14,8,7,11,23,4,6,,
462,3,rrrrrrrryyyyyyyy,86,23,192,3.67,12,16,8,7,10,23,3,7,,
463,3,rrrrrrrryyyyyyyy,80,22,191,3.71,13,15,7,6,8,22,3,6,,
464,3,rrrrrrrryyyyyyyy,85,25,191,4.0,12,16,7,6,9,25,3,7,,
465,0,GGGgGGGgrrrrrrrr,84,24,190,3.93,13,18,6,5,8,24,3,7,,
466,0,GGGgGGGgrrrrrrrr,81,23,191,3.82,12,17,6,5,7,23,4,7,,
467,0,GGGgGGGgrrrrrrrr,84,25,191,3.85,12,18,6,4,8,25,4,7,,
468,0,GGGgGGGgrrrrrrrr,83,27,191,3.85,11,19,6,4,7,27,3,6,,
469,0,GGGgGGGgrrrrrrrr,84,26,191,3.9,11,22,6,4,5,26,3,7,,
470,0,GGGgGGGgrrrrrrrr,85,29,192,4.12,12,20,5,4,6,29,3,6,switch,20
471,1,yyyyyyyyrrrrrrrr,84,28,190,4.38,12,20,5,3,6,28,4,6,,
472,1,yyyyyyyyrrrrrrrr,86,28,191,4.63,12,22,5,2,5,28,5,7,,
473,1,yyyyyyyyrrrrrrrr,90,30,189,5.02,11,23,5,2,6,30,5,8,,
474,1,yyyyyyyyrrrrrrrr,93,31,189,5.39,11,22,5,2,7,31,6,9,,
475,2,rrrrrrrrGGGgGGGg,92,30,189,5.6,13,24,4,2,6,30,5,8,,
476,2,rrrrrrrrGGGgGGGg,95,31,189,5.85,12,25,5,3,6,31,5,8,,
477,2,rrrrrrrrGGGgGGGg,100,32,190,6.11,14,25,6,4,6,32,5,8,,
478,2,rrrrrrrrGGGgGGGg,98,32,189,6.38,15,26,6,3,5,32,4,7,,
479,2,rrrrrrrrGGGgGGGg,96,32,191,6.54,15,26,6,2,5,32,4,6,,
480,2,rrrrrrrrGGGgGGGg,96,31,191,6.8,12,29,7,3,5,31,3,6,switch,25
481,3,rrrrrrrryyyyyyyy,94,32,191,7.06,11,27,5,4,5,32,4,6,,
482,3,rrrrrrrryyyyyyyy,97,32,192,7.39,12,27,6,5,5,32,5,5,,
483,3,rrrrrrrryyyyyyyy,102,32,192,7.72,11,30,6,6,6,32,5,6,,
484,3,rrrrrrrryyyyyyyy,104,32,193,8.09,11,30,7,6,6,32,6,6,,
485,0,GGGgGGGgrrrrrrrr,103,32,192,8.41,11,31,6,6,7,32,5,5,,
486,0,GGGgGGGgrrrrrrrr,101,32,192,8.68,10,31,6,5,9,32,4,4,,
487,0,GGGgGGGgrrrrrrrr,101,32,191,9.06,10,31,6,5,8,32,4,5,,
488,0,GGGgGGGgrrrrrrrr,102,32,191,9.38,10,31,6,5,9,32,4,5,,
489,0,GGGgGGGgrrrrrrrr,101,32,190,9.75,9,32,6,5,9,32,4,4,,
490,0,GGGgGGGgrrrrrrrr,102,32,189,10.17,11,32,5,4,8,32,5,5,switch,25
491,1,yyyyyyyyrrrrrrrr,106,32,189,10.6,9,32,5,5,11,32,6,6,,
492,1,yyyyyyyyrrrrrrrr,104,32,188,11.06,8,32,4,6,10,32,6,6,,
493,1,yyyyyyyyrrrrrrrr,108,32,187,11.54,8,32,5,7,10,32,7,7,,
494,1,yyyyyyyyrrrrrrrr,109,32,187,12.03,7,32,6,8,10,32,7,7,,
495,2,rrrrrrrrGGGgGGGg,107,32,189,12.14,7,32,5,7,10,32,7,7,,
496,2,rrrrrrrrGGGgGGGg,106,32,189,12.4,7,32,6,8,9,32,6,6,,
497,2,rrrrrrrrGGGgGGGg,108,32,190,12.65,7,32,6,9,9,32,7,6,,
498,2,rrrrrrrrGGGgGGGg,107,32,190,12.98,8,32,6,9,8,32,6,6,,
499,2,rrrrrrrrGGGgGGGg,108,32,190,13.31,8,32,5,10,10,32,5,6,,
500,2,rrrrrrrrGGGgGGGg,107,32,189,13.78,9,32,6,10,7,32,6,5,switch,25
501,3,rrrrrrrryyyyyyyy,108,32,189,14.14,10,32,5,9,8,32,6,6,,
502,3,rrrrrrrryyyyyyyy,107,32,190,14.43,10,32,5,9,8,32,5,6,,
503,3,rrrrrrrryyyyyyyy,107,32,191,14.76,10,32,6,10,7,32,4,6,,
504,3,rrrrrrrryyyyyyyy,107,32,191,15.21,11,32,6,10,8,32,3,5,,
505,0,GGGgGGGgrrrrrrrr,108,32,191,15.42,10,32,6,10,9,32,3,6,,
506,0,GGGgGGGgrrrrrrrr,108,32,192,15.61,11,32,6,9,9,32,3,6,,
507,0,GGGgGGGgrrrrrrrr,107,32,192,15.86,11,32,5,10,9,32,2,6,,
508,0,GGGgGGGgrrrrrrrr,105,32,192,16.17,12,32,5,8,9,32,2,5,,
509,0,GGGgGGGgrrrrrrrr,106,32,191,16.57,11,32,6,9,8,32,3,5,,
510,0,GGGgGGGgrrrrrrrr,105,32,191,16.9,10,32,4,8,9,32,4,6,switch,20
511,1,yyyyyyyyrrrrrrrr,107,32,193,17.07,9,32,5,8,10,32,4,7,,
512,1,yyyyyyyyrrrrrrrr,111,32,193,17.52,11,32,6,7,11,32,5,7,,
513,1,yyyyyyyyrrrrrrrr,111,32,194,17.8,12,32,5,7,10,32,5,8,,
514,1,yyyyyyyyrrrrrrrr,112,32,194,18.14,10,32,4,7,11,32,6,10,,
515,2,rrrrrrrrGGGgGGGg,111,32,193,18.54,11,32,4,7,11,32,5,9,,
516,2,rrrrrrrrGGGgGGGg,115,32,194,18.76,10,32,6,9,12,32,5,9,,
517,2,rrrrrrrrGGGgGGGg,114,32,195,18.98,11,32,6,9,10,32,5,9,,
518,2,rrrrrrrrGGGgGGGg,113,32,193,19.45,11,32,6,9,10,32,4,9,,
519,2,rrrrrrrrGGGgGGGg,111,32,196,19.45,11,32,6,8,10,32,4,8,,
520,2,rrrrrrrrGGGgGGGg,109,32,196,19.76,11,32,6,8,10,32,3,7,switch,35
521,3,rrrrrrrryyyyyyyy,107,32,196,20.1,10,32,6,8,10,32,3,6,,
522,3,rrrrrrrryyyyyyyy,104,32,196,20.4,10,32,6,8,8,32,3,5,,
523,3,rrrrrrrryyyyyyyy,106,32,197,20.69,9,32,7,8,10,32,4,4,,
524,3,rrrrrrrryyyyyyyy,105,32,196,21.16,10,32,7,7,10,32,3,4,,
525,0,GGGgGGGgrrrrrrrr,108,32,197,21.35,10,32,6,8,10,32,4,6,,
526,0,GGGgGGGgrrrrrrrr,103,32,197,21.58,10,32,5,7,9,32,3,5,,
527,0,GGGgGGGgrrrrrrrr,104,32,196,21.95,9,32,5,6,12,32,3,5,,
528,0,GGGgGGGgrrrrrrrr,103,32,196,22.23,10,32,5,6,10,32,3,5,,
529,0,GGGgGGGgrrrrrrrr,103,32,195,22.67,11,32,5,5,10,32,3,5,,
530,0,GGGgGGGgrrrrrrrr,100,32,195,23.0,11,32,4,4,8,32,4,5,switch,35
531,1,yyyyyyyyrrrrrrrr,103,32,194,23.48,10,32,4,5,9,32,5,6,,
532,1,yyyyyyyyrrrrrrrr,103,32,194,23.86,8,32,4,5,9,32,6,7,,
533,1,yyyyyyyyrrrrrrrr,106,32,193,24.45,9,32,4,5,11,32,6,7,,
534,1,yyyyyyyyrrrrrrrr,106,32,193,24.88,8,32,6,4,9,32,7,8,,
535,2,rrrrrrrrGGGgGGGg,108,32,194,25.01,8,32,7,5,10,32,7,7,,
536,2,rrrrrrrrGGGgGGGg,108,32,194,25.29,8,32,6,7,9,32,7,7,,
537,2,rrrrrrrrGGGgGGGg,110,32,193,25.71,9,32,7,7,9,32,7,7,,
538,2,rrrrrrrrGGGgGGGg,108,32,194,25.88,9,32,7,6,9,32,7,6,,
539,2,rrrrrrrrGGGgGGGg,104,32,195,26.02,7,32,6,6,9,32,6,6,,
540,2,rrrrrrrrGGGgGGGg,105,32,195,26.32,8,32,6,6,11,32,5,5,switch,25
541,3,rrrrrrrryyyyyyyy,110,32,196,26.6,11,32,8,7,9,32,5,6,,
542,3,rrrrrrrryyyyyyyy,110,32,197,26.82,12,32,7,8,9,32,5,5,,
543,3,rrrrrrrryyyyyyyy,109,32,197,27.18,11,32,9,8,9,32,4,4,,
544,3,rrrrrrrryyyyyyyy,109,32,197,27.56,13,32,9,9,8,32,3,3,,
545,0,GGGgGGGgrrrrrrrr,105,32,197,27.81,13,32,8,7,8,32,2,3,,
546,0,GGGgGGGgrrrrrrrr,102,32,198,27.86,12,32,6,6,9,32,2,3,,
547,0,GGGgGGGgrrrrrrrr,101,32,197,28.24,12,32,6,6,8,32,3,2,,
548,0,GGGgGGGgrrrrrrrr,98,32,198,28.35,9,32,6,6,8,32,3,2,,
549,0,GGGgGGGgrrrrrrrr,101,32,197,28.85,11,32,6,5,8,32,4,3,,
550,0,GGGgGGGgrrrrrrrr,99,32,198,28.97,9,32,5,5,9,32,4,3,switch,25
551,1,yyyyyyyyrrrrrrrr,103,32,197,29.49,11,32,5,5,10,32,5,3,,
552,1,yyyyyyyyrrrrrrrr,103,32,197,29.86,12,32,4,5,9,32,5,4,,
553,1,yyyyyyyyrrrrrrrr,104,32,197,30.23,9,32,5,5,10,32,5,6,,
554,1,yyyyyyyyrrrrrrrr,106,32,197,30.65,11,32,5,4,11,32,6,5,,
555,2,rrrrrrrrGGGgGGGg,108,32,197,30.91,11,32,6,5,11,32,6,5,,
556,2,rrrrrrrrGGGgGGGg,111,32,198,31.06,13,32,6,6,11,32,6,5,,
557,2,rrrrrrrrGGGgGGGg,108,32,197,30.88,13,32,7,6,9,31,6,4,,
558,2,rrrrrrrrGGGgGGGg,107,32,197,31.16,11,32,7,6,10,31,6,4,,
559,2,rrrrrrrrGGGgGGGg,105,32,197,30.86,10,32,7,7,9,30,6,4,,
560,2,rrrrrrrrGGGgGGGg,105,32,196,30.76,10,32,8,7,10,29,5,4,switch,25
561,3,rrrrrrrryyyyyyyy,106,32,195,30.65,11,32,9,8,9,28,4,5,,
562,3,rrrrrrrryyyyyyyy,104,32,195,30.42,11,32,11,7,8,27,4,4,,
563,3,rrrrrrrryyyyyyyy,104,32,195,30.19,12,32,9,7,9,26,4,5,,
564,3,rrrrrrrryyyyyyyy,101,32,195,30.53,12,32,9,6,7,27,4,4,,
565,0,GGGgGGGgrrrrrrrr,100,32,195,30.14,12,32,8,6,7,26,4,5,,
566,0,GGGgGGGgrrrrrrrr,98,32,195,29.71,11,32,8,6,8,25,4,4,,
567,0,GGGgGGGgrrrrrrrr,95,32,194,29.48,10,32,7,6,8,25,3,4,,
568,0,GGGgGGGgrrrrrrrr,92,32,195,28.96,9,32,7,6,6,25,3,4,,
569,0,GGGgGGGgrrrrrrrr,93,32,193,29.54,9,32,7,4,7,26,3,5,,
570,0,GGGgGGGgrrrrrrrr,92,32,193,29.27,7,32,7,5,7,25,4,5,switch,20
571,1,yyyyyyyyrrrrrrrr,96,32,193,29.05,9,32,7,6,7,25,5,5,,
572,1,yyyyyyyyrrrrrrrr,97,32,194,28.62,9,32,7,4,8,25,6,6,,
573,1,yyyyyyyyrrrrrrrr,97,32,194,28.4,9,32,6,5,8,24,6,7,,
574,1,yyyyyyyyrrrrrrrr,100,32,194,28.16,9,32,6,5,9,24,7,8,,
575,2,rrrrrrrrGGGgGGGg,98,32,195,28.13,9,32,7,6,7,24,6,7,,
576,2,rrrrrrrrGGGgGGGg,99,32,195,27.72,10,32,8,6,9,22,5,7,,
577,2,rrrrrrrrGGGgGGGg,100,32,195,27.33,11,32,9,7,8,21,6,6,,
578,2,rrrrrrrrGGGgGGGg,98,32,194,27.08,11,32,9,8,7,19,6,6,,
579,2,rrrrrrrrGGGgGGGg,99,32,194,26.75,13,32,10,7,7,18,5,7,,
580,2,rrrrrrrrGGGgGGGg,97,32,194,26.37,11,32,10,8,8,16,5,7,switch,25
581,3,rrrrrrrryyyyyyyy,95,32,194,26.06,12,32,10,8,6,15,5,7,,
582,3,rrrrrrrryyyyyyyy,96,32,193,25.91,12,32,10,9,7,15,4,7,,
583,3,rrrrrrrryyyyyyyy,93,32,196,25.2,12,32,9,9,6,14,4,7,,
584,3,rrrrrrrryyyyyyyy,88,32,196,24.82,13,32,9,8,4,12,3,7,,
585,0,GGGgGGGgrrrrrrrr,87,32,198,24.7,11,32,9,6,5,13,4,7,,
586,0,GGGgGGGgrrrrrrrr,85,32,197,24.28,11,32,9,5,4,13,4,7,,
587,0,GGGgGGGgrrrrrrrr,84,32,198,23.65,11,32,7,5,6,12,4,7,,
588,0,GGGgGGGgrrrrrrrr,81,31,198,22.49,11,31,6,4,7,12,4,6,,
589,0,GGGgGGGgrrrrrrrr,76,30,198,21.37,10,30,6,4,5,11,4,6,,
590,0,GGGgGGGgrrrrrrrr,78,29,199,20.78,8,29,5,4,8,12,5,7,switch,25
591,1,yyyyyyyyrrrrrrrr,77,28,198,19.87,9,28,6,3,7,11,5,8,,
592,1,yyyyyyyyrrrrrrrr,79,27,197,18.97,8,27,6,3,10,11,6,8,,
593,1,yyyyyyyyrrrrrrrr,83,27,198,18.45,9,27,6,4,11,11,6,9,,
594,1,yyyyyyyyrrrrrrrr,85,26,199,17.34,9,26,6,4,12,11,7,10,,
595,2,rrrrrrrrGGGgGGGg,80,26,200,16.73,8,26,6,5,9,10,7,9,,
596,2,rrrrrrrrGGGgGGGg,81,26,200,16.03,9,26,7,5,9,9,7,9,,
597,2,rrrrrrrrGGGgGGGg,82,26,200,15.39,10,26,8,5,8,9,7,9,,
598,2,rrrrrrrrGGGgGGGg,78,25,200,14.74,9,25,8,5,8,8,6,9,,
599,2,rrrrrrrrGGGgGGGg,80,24,200,14.21,11,24,9,6,7,9,6,8,,
